"Ebene";"EDV-Code";"Code";"Titel";"Kurztitel"
3;"G471";"G 47.1";"Einzelhandel mit Waren verschiedener Art";""
4;"G4711";"G 47.11";"Einzelhandel mit Waren verschiedener Art, Hauptrichtung Nahrungs- und Genussmittel";""
4;"G4712";"G 47.12";"Sonstiger Einzelhandel mit Waren verschiedener Art";""
3;"G472";"G 47.2";"Einzelhandel mit Nahrungs- und Genussmitteln, Getränken und Tabakwaren";""
4;"G4721";"G 47.21";"Einzelhandel mit Obst, Gemüse und Kartoffeln";""
4;"G4722";"G 47.22";"Einzelhandel mit Fleisch und Fleischwaren";""
4;"G4723";"G 47.23";"Einzelhandel mit Fisch, Meeresfrüchten und Fischerzeugnissen";""
4;"G4724";"G 47.24";"Einzelhandel mit Back- und Süßwaren";""
4;"G4725";"G 47.25";"Einzelhandel mit Getränken";""
4;"G4726";"G 47.26";"Einzelhandel mit Tabakwaren";""
4;"G4727";"G 47.27";"Einzelhandel mit sonstigen Nahrungs- und Genussmitteln";""
3;"G473";"G 47.3";"Einzelhandel mit Motorenkraftstoffen";""
4;"G4730";"G 47.30";"Einzelhandel mit Motorenkraftstoffen";""
3;"G474";"G 47.4";"Einzelhandel mit Geräten der Informations- und Kommunikationstechnik";""
4;"G4740";"G 47.40";"Einzelhandel mit Geräten der Informations- und Kommunikationstechnik";""
3;"G475";"G 47.5";"Einzelhandel mit sonstigen Haushaltsgeräten, Textilien, Heimwerker- und Einrichtungsbedarf";""
4;"G4751";"G 47.51";"Einzelhandel mit Textilien";""
4;"G4752";"G 47.52";"Einzelhandel mit Metallwaren, Anstrichmitteln, Bau- und Heimwerkerbedarf";""
4;"G4753";"G 47.53";"Einzelhandel mit Vorhängen, Teppichen, Fußbodenbelägen und Tapeten";""
4;"G4754";"G 47.54";"Einzelhandel mit elektrischen Haushaltsgeräten";""
4;"G4755";"G 47.55";"Einzelhandel mit Möbeln, Einrichtungsgegenständen und sonstigem Hausrat";""
3;"G476";"G 47.6";"Einzelhandel mit Verlagsprodukten, Sportausrüstungen und Spielwaren";""
4;"G4761";"G 47.61";"Einzelhandel mit Büchern";""
4;"G4762";"G 47.62";"Einzelhandel mit Zeitschriften, Zeitungen, Schreibwaren und Bürobedarf";""
4;"G4763";"G 47.63";"Einzelhandel mit Fahrrädern, Sport- und Campingartikeln";""
4;"G4764";"G 47.64";"Einzelhandel mit Spielwaren";""
4;"G4769";"G 47.69";"Einzelhandel mit Kunst- und Kulturerzeugnissen a. n. g.";""
3;"G477";"G 47.7";"Einzelhandel mit sonstigen Gütern, ohne Kraftwagen und Krafträder";""
4;"G4771";"G 47.71";"Einzelhandel mit Bekleidung";""
4;"G4772";"G 47.72";"Einzelhandel mit Schuhen und Lederwaren";""
4;"G4773";"G 47.73";"Einzelhandel mit pharmazeutischen Erzeugnissen";""
4;"G4774";"G 47.74";"Einzelhandel mit medizinischen und orthopädischen Artikeln";""
4;"G4775";"G 47.75";"Einzelhandel mit kosmetischen Erzeugnissen und Körperpflegemitteln";""
4;"G4776";"G 47.76";"Einzelhandel mit Blumen, Pflanzen, Düngemitteln, Tierfutter und Haustieren";""
4;"G4777";"G 47.77";"Einzelhandel mit Uhren und Schmuck";""
4;"G4778";"G 47.78";"Einzelhandel mit sonstigen Neuwaren";""
4;"G4779";"G 47.79";"Einzelhandel mit Antiquitäten und Gebrauchtwaren";""
3;"G478";"G 47.8";"Einzelhandel mit Kraftwagen, Krafträdern, deren Teilen und Zubehör";""
4;"G4781";"G 47.81";"Einzelhandel mit Kraftwagen";""
4;"G4782";"G 47.82";"Einzelhandel mit Kraftwagenteilen und -zubehör";""
4;"G4783";"G 47.83";"Einzelhandel mit Krafträdern, Kraftradteilen und -zubehör";""
3;"G479";"G 47.9";"Vermittlungstätigkeiten für den Einzelhandel";""
4;"G4791";"G 47.91";"Vermittlungstätigkeiten für den Einzelhandel ohne ausgeprägten Schwerpunkt";""
4;"G4792";"G 47.92";"Vermittlungstätigkeiten für den Einzelhandel mit ausgeprägtem Schwerpunkt";""
1;"H";"H";"VERKEHR UND LAGEREI";""
2;"H49";"H 49";"Landverkehr und Transport in Rohrfernleitungen";""
3;"H491";"H 49.1";"Personenbeförderung im Schienenverkehr";""
4;"H4911";"H 49.11";"Personenbeförderung im Eisenbahnverkehr";""
4;"H4912";"H 49.12";"Sonstige Personenbeförderung im Schienenverkehr";""
3;"H492";"H 49.2";"Güterbeförderung im Schienenverkehr";""
4;"H4920";"H 49.20";"Güterbeförderung im Schienenverkehr";""
3;"H493";"H 49.3";"Sonstige Personenbeförderung im Landverkehr";""
4;"H4931";"H 49.31";"Personenbeförderung im Linienverkehr auf der Straße";""
4;"H4932";"H 49.32";"Personenbeförderung im Gelegenheitsverkehr auf der Straße";""
4;"H4933";"H 49.33";"Personenbeförderung mit Fahrzeug mit Fahrer auf Abruf";""
4;"H4934";"H 49.34";"Personenbeförderung mit Seilbahnen und Skiliften";""
4;"H4939";"H 49.39";"Sonstige Personenbeförderung im Landverkehr a. n. g.";""
3;"H494";"H 49.4";"Güterbeförderung im Straßenverkehr, Umzugstransporte";""
4;"H4941";"H 49.41";"Güterbeförderung im Straßenverkehr";""
4;"H4942";"H 49.42";"Umzugstransporte";""
3;"H495";"H 49.5";"Transport in Rohrfernleitungen";""
4;"H4950";"H 49.50";"Transport in Rohrfernleitungen";""
2;"H50";"H 50";"Schifffahrt";""
3;"H501";"H 50.1";"Personenbeförderung in der Hochsee- und Küstenschifffahrt";""
4;"H5010";"H 50.10";"Personenbeförderung in der Hochsee- und Küstenschifffahrt";""
3;"H502";"H 50.2";"Güterbeförderung in der Hochsee- und Küstenschifffahrt";""
4;"H5020";"H 50.20";"Güterbeförderung in der Hochsee- und Küstenschifffahrt";""
3;"H503";"H 50.3";"Personenbeförderung in der Binnenschifffahrt";""
4;"H5030";"H 50.30";"Personenbeförderung in der Binnenschifffahrt";""
3;"H504";"H 50.4";"Güterbeförderung in der Binnenschifffahrt";""
4;"H5040";"H 50.40";"Güterbeförderung in der Binnenschifffahrt";""
2;"H51";"H 51";"Luftfahrt";""
3;"H511";"H 51.1";"Personenbeförderung in der Luftfahrt";""
4;"H5110";"H 51.10";"Personenbeförderung in der Luftfahrt";""
3;"H512";"H 51.2";"Güterbeförderung in der Luftfahrt und Raumtransport";""
4;"H5121";"H 51.21";"Güterbeförderung in der Luftfahrt";""
4;"H5122";"H 51.22";"Raumtransport";""
2;"H52";"H 52";"Lagerei sowie Erbringung von sonstigen Dienstleistungen für den Verkehr";""
3;"H521";"H 52.1";"Lagerei";""
4;"H5210";"H 52.10";"Lagerei";""
3;"H522";"H 52.2";"Erbringung von sonstigen Dienstleistungen für den Verkehr";""
4;"H5221";"H 52.21";"Erbringung von sonstigen Dienstleistungen für den Landverkehr";""
4;"H5222";"H 52.22";"Erbringung von sonstigen Dienstleistungen für die Schifffahrt";""
4;"H5223";"H 52.23";"Erbringung von sonstigen Dienstleistungen für die Luftfahrt";""
4;"H5224";"H 52.24";"Frachtumschlag";""
4;"H5225";"H 52.25";"Erbringung von Logistikdienstleistungen";""
4;"H5226";"H 52.26";"Erbringung von sonstigen Dienstleistungen für den Verkehr";""
3;"H523";"H 52.3";"Vermittlungstätigkeiten für den Verkehr";""
4;"H5231";"H 52.31";"Vermittlungstätigkeiten für die Güterbeförderung";""
4;"H5232";"H 52.32";"Vermittlungstätigkeiten für die Personenbeförderung";""
2;"H53";"H 53";"Post-, Kurier- und Expressdienste";""
3;"H531";"H 53.1";"Postdienste von Universaldienstleistungsanbietern";""
4;"H5310";"H 53.10";"Postdienste von Universaldienstleistungsanbietern";""
3;"H532";"H 53.2";"Sonstige Post-, Kurier- und Expressdienste";""
4;"H5320";"H 53.20";"Sonstige Post-, Kurier- und Expressdienste";""
3;"H533";"H 53.3";"Vermittlungstätigkeiten für Post-, Kurier- und Expressdienstleistungen";""
4;"H5330";"H 53.30";"Vermittlungstätigkeiten für Post-, Kurier- und Expressdienstleistungen";""
1;"I";"I";"GASTGEWERBE/BEHERBERGUNG UND GASTRONOMIE";""
2;"I55";"I 55";"Beherbergung";""
3;"I551";"I 55.1";"Hotels, Gasthöfe und Pensionen";""
4;"I5510";"I 55.10";"Hotels, Gasthöfe und Pensionen";""
3;"I552";"I 55.2";"Ferienunterkünfte und ähnliche Beherbergungsstätten";""
4;"I5520";"I 55.20";"Ferienunterkünfte und ähnliche Beherbergungsstätten";""
3;"I553";"I 55.3";"Campingplätze";""
4;"I5530";"I 55.30";"Campingplätze";""
3;"I554";"I 55.4";"Vermittlungstätigkeiten für Beherbergungsdienstleistungen";""
4;"I5540";"I 55.40";"Vermittlungstätigkeiten für Beherbergungsdienstleistungen";""
3;"I559";"I 55.9";"Sonstige Beherbergungsstätten";""
4;"I5590";"I 55.90";"Sonstige Beherbergungsstätten";""
2;"I56";"I 56";"Gastronomie";""
3;"I561";"I 56.1";"Restaurants, Gaststätten, Imbissstuben, Cafés, Eissalons u. Ä.";""
4;"I5611";"I 56.11";"Restaurants, Gaststätten, Imbissstuben, Cafés, Eissalons u. Ä.";""
