"Ebene";"EDV-Code";"Code";"Titel";"Kurztitel"
4;"H5210";"H 52.10";"Lagerei";"Lagerei"
5;"H52100";"H 52.10-0";"Lagerei";"Lagerei"
3;"H522";"H 52.2";"Erbringung von sonstigen Dienstleistungen für den Verkehr";"Sonst. Dienstleistungen - Verkehr"
4;"H5221";"H 52.21";"Erbringung von sonstigen Dienstleistungen für den Landverkehr";"Sonst. Dienstleistungen - Landverkehr"
5;"H52211";"H 52.21-1";"Parkhäuser und Parkgaragen";"Parkhäuser und Parkgaragen"
5;"H52212";"H 52.21-2";"Mautstraßen";"Mautstraßen"
5;"H52219";"H 52.21-9";"Erbringung von sonstigen Dienstleistungen für den Landverkehr a.n.g.";"Sonst. Dienstleistungen - Landverkehr"
4;"H5222";"H 52.22";"Erbringung von sonstigen Dienstleistungen für die Schifffahrt";"Sonst. Dienstleistungen - Schifffahrt"
5;"H52220";"H 52.22-0";"Erbringung von sonstigen Dienstleistungen für die Schifffahrt";"Sonst. Dienstleistungen - Schifffahrt"
4;"H5223";"H 52.23";"Erbringung von sonstigen Dienstleistungen für die Luftfahrt";"Sonst. Dienstleistungen - Luftfahrt"
5;"H52230";"H 52.23-0";"Erbringung von sonstigen Dienstleistungen für die Luftfahrt";"Sonst. Dienstleistungen - Luftfahrt"
4;"H5224";"H 52.24";"Frachtumschlag";"Frachtumschlag"
5;"H52240";"H 52.24-0";"Frachtumschlag";"Frachtumschlag"
4;"H5229";"H 52.29";"Erbringung von sonstigen Dienstleistungen für den Verkehr a.n.g.";"Sonst. Dienstleistungen a.n.g. - Verkehr"
5;"H52290";"H 52.29-0";"Erbringung von sonstigen Dienstleistungen für den Verkehr a.n.g.";"Sonst. Dienstleistungen a.n.g. - Verkehr"
2;"H53";"H 53";"Post-, Kurier- und Expressdienste";"Post- und Kurierdienste"
3;"H531";"H 53.1";"Postdienste von Universaldienstleistungsanbietern";"Post/Universaldienstleistungsanbieter"
4;"H5310";"H 53.10";"Postdienste von Universaldienstleistungsanbietern";"Post/Universaldienstleistungsanbieter"
5;"H53100";"H 53.10-0";"Postdienste von Universaldienstleistungsanbietern";"Post/Universaldienstleistungsanbieter"
3;"H532";"H 53.2";"Sonstige Post-, Kurier- und Expressdienste";"Sonst. Post- und Kurierdienste"
4;"H5320";"H 53.20";"Sonstige Post-, Kurier- und Expressdienste";"Sonst. Post- und Kurierdienste"
5;"H53200";"H 53.20-0";"Sonstige Post-, Kurier- und Expressdienste";"Sonst. Post- und Kurierdienste"
1;"I";"I";"BEHERBERGUNG UND GASTRONOMIE";"Beherbergung und Gastronomie"
2;"I55";"I 55";"Beherbergung";"Beherbergung"
3;"I551";"I 55.1";"Hotels, Gasthöfe und Pensionen";"Hotels, Gasthöfe und Pensionen"
